V_A,V_B
-0.0009,0.051
-0.0006,0.054
-0.0006,0.051
-0.0008,0.051
-0.0004,0.052
-0.0006,0.05
-0.0006,0.051
-0.0008,0.051
-0.0006,0.052
-0.0006,0.051
-0.0006,0.051
-0.0006,0.051
-0.0006,0.051
-0.0006,0.051
-0.0008,0.054
-0.0006,0.052
-0.0006,0.054
-0.0004,0.052
-0.0009,0.054
-0.0008,0.052
-0.0004,0.057
-0.0004,0.059
-0.0004,0.061
-0.0003,0.065
-0.0004,0.069
-0.0004,0.073
0.0001,0.081
0.0001,0.088
0.0003,0.098
0.0003,0.103
0.0006,0.116
0.0009,0.131
0.0012,0.14
0.001,0.153
0.0016,0.17
0.0021,0.188
0.0021,0.2
0.0024,0.216
0.0029,0.231
0.0033,0.252
0.0034,0.27
0.0039,0.288
0.004,0.304
0.0045,0.321
0.0048,0.339
0.0051,0.357
0.0054,0.375
0.0057,0.389
0.006,0.404
0.0063,0.42
0.0066,0.435
0.0069,0.453
0.0073,0.471
0.0075,0.484
0.0081,0.501
0.0083,0.516
0.0086,0.532
0.0087,0.55
0.009,0.57
0.0093,0.59
0.0097,0.603
0.01,0.62
0.0105,0.637
0.0105,0.657
0.0112,0.684
0.0117,0.71
0.0124,0.738
0.0126,0.765
0.0135,0.795
0.0141,0.825
0.0147,0.858
0.0153,0.889
0.016,0.921
0.0167,0.957
0.0173,0.992
0.0179,1.026
0.0185,1.059
0.0192,1.093
0.0199,1.125
0.0203,1.158
0.0211,1.184
0.0215,1.215
0.0222,1.25
0.0227,1.278
0.0236,1.306
0.0237,1.338
0.0244,1.363
0.0248,1.387
0.025,1.41
0.0256,1.428
0.0258,1.446
0.0261,1.458
0.0266,1.472
0.0268,1.485
0.027,1.496
0.0272,1.508
0.0273,1.518
0.0273,1.526
0.0276,1.534
0.028,1.54
0.0278,1.546
0.028,1.551
0.0279,1.554
0.0278,1.559
0.028,1.563
0.0282,1.563
0.0282,1.567
0.0286,1.567
0.0282,1.571
